iter	Passed	Remaining
489	688	716
490	689	714
491	690	713
492	691	711
493	692	709
494	694	708
495	696	707
496	697	705
497	698	704
498	700	703
499	701	701
500	703	700
501	704	698
502	706	697
503	707	696
504	708	694
505	709	693
506	711	692
507	713	691
508	714	689
509	716	687
510	717	686
511	718	685
512	720	683
513	721	682
514	722	680
515	723	679
516	725	677
517	726	676
518	727	674
519	729	673
520	730	671
521	731	670
522	732	668
523	734	666
524	735	665
525	736	664
526	737	662
527	739	660
528	740	659
529	741	657
530	743	656
531	744	654
532	745	653
533	746	651
534	748	650
535	749	648
536	750	647
537	752	645
538	753	644
539	754	642
540	755	641
541	756	639
542	758	638
543	759	637
544	761	635
545	762	633
546	763	632
547	765	631
548	766	629
549	767	627
550	768	626
551	769	624
552	771	623
553	772	621
554	773	620
555	774	618
556	775	617
557	777	615
558	778	614
559	779	612
560	781	611
561	782	609
562	783	608
563	784	606
564	785	605
565	787	603
566	789	602
567	790	601
568	791	599
569	792	598
570	794	596
571	795	595
572	796	593
573	797	591
574	798	590
575	800	589
576	801	587
577	802	586
578	804	584
579	805	583
580	807	582
581	808	580
582	809	579
583	811	577
584	812	576
585	813	575
586	815	573
587	816	572
588	818	571
589	819	569
590	820	568
591	822	566
592	824	565
593	825	564
594	826	562
595	827	561
596	829	559
597	830	558
598	831	556
599	832	555
600	834	553
601	835	552
602	836	550
603	837	549
604	839	547
605	840	546
606	841	545
607	842	543
608	844	541
609	845	540
610	847	539
611	848	537
612	849	536
613	851	535
614	852	533
615	854	532
616	855	530
617	856	529
618	858	528
619	859	526
620	860	525
621	862	523
622	863	522
623	865	521
624	866	519
625	867	518
626	868	516
627	870	515
628	871	514
629	872	512
630	874	511
631	875	509
632	877	508
633	878	506
634	879	505
635	881	504
636	882	502
637	883	501
638	884	499
639	886	498
640	887	497
641	889	495
642	890	494
643	891	492
644	892	491
645	894	490
646	895	488
647	896	486
648	897	485
649	899	484
650	900	482
651	901	481
652	903	480
653	904	478
654	906	477
655	907	475
656	909	474
657	911	473
658	912	472
659	913	470
660	915	469
661	916	467
662	917	466
663	919	465
664	920	463
665	922	462
666	923	461
667	924	459
668	925	458
669	927	456
670	928	455
671	930	453
672	931	452
673	932	451
674	934	449
675	935	448
676	937	447
677	938	445
678	939	444
679	941	442
680	942	441
681	943	440
682	944	438
683	946	437
684	948	435
685	949	434
686	950	433
687	951	431
688	953	430
689	954	428
690	956	427
691	957	426
692	959	424
693	960	423
694	961	421
695	962	420
696	964	419
697	966	417
698	967	416
699	968	415
700	969	413
701	971	412
702	972	411
703	974	409
704	975	408
705	977	406
706	978	405
707	979	403
708	980	402
709	982	401
710	983	399
711	985	398
712	987	397
713	988	395
714	989	394
715	990	393
716	992	391
717	994	390
718	995	389
719	996	387
720	998	386
721	999	384
722	1001	383
723	1002	382
724	1004	380
725	1005	379
726	1006	378
727	1008	376
728	1009	375
729	1010	373
730	1012	372
731	1013	371
732	1014	369
733	1016	368
734	1017	366
735	1018	365
736	1019	363
737	1021	362
738	1022	361
739	1024	359
740	1025	358
741	1026	356
742	1027	355
743	1029	354
744	1030	352
745	1031	351
746	1032	349
747	1034	348
748	1035	347
749	1037	345
750	1038	344
751	1039	342
752	1040	341
753	1042	339
754	1043	338
755	1044	337
756	1045	335
757	1047	334
758	1048	332
759	1049	331
760	1052	330
761	1054	329
762	1056	328
763	1057	326
764	1059	325
765	1061	324
766	1062	322
767	1064	321
768	1065	320
769	1067	318
770	1068	317
771	1070	316
772	1071	314
773	1073	313
774	1074	311
775	1075	310
776	1077	309
777	1078	307
778	1079	306
779	1081	305
780	1083	303
781	1084	302
782	1085	300
783	1087	299
784	1088	298
785	1089	296
786	1091	295
787	1092	293
788	1093	292
789	1094	291
790	1096	289
791	1097	288
792	1099	286
793	1100	285
794	1102	284
795	1103	282
796	1104	281
797	1106	279
798	1107	278
799	1108	277
800	1109	275
801	1111	274
802	1112	272
803	1113	271
804	1114	270
805	1116	268
806	1117	267
807	1118	265
808	1120	264
809	1121	263
810	1122	261
811	1123	260
812	1124	258
813	1126	257
814	1127	256
815	1129	254
816	1130	253
817	1131	251
818	1132	250
819	1134	248
820	1135	247
821	1136	246
822	1137	244
823	1139	243
824	1140	241
825	1141	240
826	1143	239
827	1144	237
828	1145	236
829	1146	234
830	1148	233
831	1149	232
832	1151	230
833	1152	229
834	1153	227
835	1154	226
836	1156	225
837	1157	223
838	1158	222
839	1159	220
840	1161	219
841	1162	218
842	1163	216
843	1164	215
844	1166	213
845	1167	212
846	1169	211
847	1170	209
848	1171	208
849	1172	206
850	1174	205
851	1175	204
852	1176	202
853	1177	201
854	1178	199
855	1180	198
856	1181	197
857	1182	195
858	1183	194
859	1185	192
860	1186	191
861	1187	190
862	1188	188
863	1189	187
864	1191	185
865	1192	184
866	1193	183
867	1194	181
868	1196	180
869	1197	178
870	1198	177
871	1199	176
872	1201	174
873	1202	173
874	1204	172
875	1205	170
876	1206	169
877	1207	167
878	1209	166
879	1210	165
880	1211	163
881	1212	162
882	1214	160
883	1215	159
884	1216	158
885	1217	156
886	1219	155
887	1221	154
888	1222	152
889	1223	151
890	1224	149
891	1226	148
892	1227	147
893	1228	145
894	1229	144
895	1231	142
896	1232	141
897	1233	140
898	1234	138
899	1236	137
900	1237	135
901	1238	134
902	1239	133
903	1240	131
904	1242	130
905	1244	129
906	1245	127
907	1246	126
908	1248	124
909	1249	123
910	1250	122
911	1251	120
912	1252	119
913	1254	118
914	1255	116
915	1256	115
916	1257	113
917	1259	112
918	1260	111
919	1262	109
920	1263	108
921	1264	106
922	1265	105
923	1267	104
924	1268	102
925	1269	101
926	1270	100
927	1271	98
928	1273	97
929	1274	95
930	1275	94
931	1276	93
932	1277	91
933	1279	90
934	1280	89
935	1281	87
936	1289	86
937	1291	85
938	1292	83
939	1293	82
940	1294	81
941	1296	79
942	1297	78
943	1298	77
944	1299	75
945	1300	74
946	1302	72
947	1304	71
948	1305	70
949	1306	68
950	1308	67
951	1310	66
952	1311	64
953	1312	63
954	1314	61
955	1315	60
956	1316	59
957	1317	57
958	1319	56
959	1320	55
960	1321	53
961	1322	52
962	1324	50
963	1325	49
964	1327	48
965	1328	46
966	1329	45
967	1330	43
968	1332	42
969	1333	41
970	1334	39
971	1335	38
972	1337	37
973	1338	35
974	1340	34
975	1341	32
976	1343	31
977	1344	30
978	1345	28
979	1346	27
980	1347	26
981	1349	24
982	1350	23
983	1351	21
984	1352	20
985	1354	19
986	1355	17
987	1356	16
988	1357	15
989	1358	13
990	1360	12
991	1361	10
992	1362	9
993	1363	8
994	1364	6
995	1365	5
996	1366	4
997	1368	2
998	1369	1
999	1370	0
